D:\weblikefood\src\app\api\products\search-hints\route.ts: line 52, col 15, Warning - 'likeStripped' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\reviews\check\route.ts: line 12, col 27, Warning - '_canUserReview' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\cart\abandoned\route.ts: line 92, col 27, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 25, col 28, Warning - 'req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 157, col 27, Warning - '_req' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\user\checkin\route.ts: line 269, col 14, Warning - '_error' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\app\api\webhooks\stripe\route.ts: line 22, col 10, Warning - 'encrypt' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\CommandPalette.tsx: line 37, col 9, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ImageUpload.tsx: line 12, col 10, Warning - 'Button' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 10, col 83, Warning - 'Table' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 10, col 90, Warning - 'Eye' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 10, col 95, Warning - 'Trash2' is defined but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 18, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 22, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 24, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 34, col 7, Warning - 'OPTIONAL_FIELDS' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
D:\weblikefood\src\components\admin\ProductImport.tsx: line 42, col 5, Warning - 'categories' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
